empresa,producto,sentimiento,comentario,fecha_hora,clean_comentario,texto_limpio,score_sentimiento,hora,hora_redondeada
Meta,Oculus Quest,neutral,El soporte de Meta no resolvió nada con mi Oculus Quest. 🤬,2025-04-20 06:00:00,el soporte de meta no resolvi nada con mi oculus quest,el soporte de meta resolvi nada con mi oculus quest,0.0,2025-04-20T06:00:00.000000,2025-04-20T06:00:00.000000
Nvidia,CUDA Toolkit,neutral,Tuve una pésima experiencia con CUDA Toolkit de Nvidia. Decepcionante. 👎,2025-04-19 11:00:00,tuve una psima experiencia con cuda toolkit de nvidia decepcionante,tuve una psima experiencia con cuda toolkit de nvidia decepcionante,0.0,2025-04-19T11:00:00.000000,2025-04-19T11:00:00.000000
Binance,Launchpad,neutral,No tengo quejas ni elogios del Launchpad de Binance.,2025-04-17 06:00:00,no tengo quejas ni elogios del launchpad de binance,tengo quejas ni elogios del launchpad de binance,0.0,2025-04-17T06:00:00.000000,2025-04-17T06:00:00.000000
Binance,Smart Chain,positivo,El soporte de Binance no resolvió nada con mi Smart Chain. 🤬,2025-04-18 07:00:00,el soporte de binance no resolvi nada con mi smart chain,el soporte de binance resolvi nada con mi smart chain,0.4019,2025-04-18T07:00:00.000000,2025-04-18T07:00:00.000000
Coinbase,Coinbase Pro,neutral,¡Amo mi nuevo Coinbase Pro de Coinbase! 🥳,2025-04-20 08:00:00,amo mi nuevo coinbase pro de coinbase,amo mi nuevo coinbase pro de coinbase,0.0,2025-04-20T08:00:00.000000,2025-04-20T08:00:00.000000
Apple,Apple Watch,neutral,Malísimo el Apple Watch de Apple. No lo recomiendo. 👎,2025-04-19 23:00:00,malsimo el apple watch de apple no lo recomiendo,malsimo el apple watch de apple lo recomiendo,0.0,2025-04-19T23:00:00.000000,2025-04-19T23:00:00.000000
Nvidia,CUDA Toolkit,neutral,He tenido más problemas que beneficios con el CUDA Toolkit de Nvidia.,2025-04-18 23:00:00,he tenido ms problemas que beneficios con el cuda toolkit de nvidia,tenido ms problemas que beneficios con el cuda toolkit de nvidia,0.0,2025-04-18T23:00:00.000000,2025-04-18T23:00:00.000000
Binance,Earn Program,neutral,"Es un Earn Program más. No está mal, pero tampoco es la gran cosa.",2025-04-17 15:00:00,es un earn program ms no est mal pero tampoco es la gran cosa,es un earn program ms est mal pero tampoco es la gran cosa,0.0,2025-04-17T15:00:00.000000,2025-04-17T15:00:00.000000
Nike,Air Max,negativo,No entiendo el hype con el Air Max de Nike. Meh.,2025-04-18 11:00:00,no entiendo el hype con el air max de nike meh,entiendo el hype con el air max de nike meh,-0.0772,2025-04-18T11:00:00.000000,2025-04-18T11:00:00.000000
Apple,iPhone 15,neutral,Lo de Apple con el iPhone 15 es otro nivel. 😎,2025-04-16 07:00:00,lo de apple con el iphone 15 es otro nivel,lo de apple con el iphone es otro nivel,0.0,2025-04-16T07:00:00.000000,2025-04-16T07:00:00.000000
Nvidia,DLSS 3.5,positivo,"DLSS 3.5 me ha cambiado la vida. Gracias, Nvidia. ❤️",2025-04-18 05:00:00,dlss 35 me ha cambiado la vida gracias nvidia,dlss ha cambiado la vida gracias nvidia,0.34,2025-04-18T05:00:00.000000,2025-04-18T05:00:00.000000
Nvidia,DLSS 3.5,neutral,"Nvidia, ¿qué les pasó con el DLSS 3.5? Está lleno de fallas. 😤",2025-04-19 06:00:00,nvidia qu les pas con el dlss 35 est lleno de fallas,nvidia qu les pas con el dlss est lleno de fallas,0.0,2025-04-19T06:00:00.000000,2025-04-19T06:00:00.000000
Nvidia,RTX 4090,neutral,Tuve una pésima experiencia con RTX 4090 de Nvidia. Decepcionante. 👎,2025-04-19 07:00:00,tuve una psima experiencia con rtx 4090 de nvidia decepcionante,tuve una psima experiencia con rtx de nvidia decepcionante,0.0,2025-04-19T07:00:00.000000,2025-04-19T07:00:00.000000
Tesla,Powerwall,neutral,El soporte de Tesla no resolvió nada con mi Powerwall. 🤬,2025-04-16 07:00:00,el soporte de tesla no resolvi nada con mi powerwall,el soporte de tesla resolvi nada con mi powerwall,0.0,2025-04-16T07:00:00.000000,2025-04-16T07:00:00.000000
Nvidia,CUDA Toolkit,neutral,Nvidia lanzó el nuevo CUDA Toolkit. Alguien ya lo probó?,2025-04-16 10:00:00,nvidia lanz el nuevo cuda toolkit alguien ya lo prob,nvidia lanz el nuevo cuda toolkit alguien ya lo prob,0.0,2025-04-16T10:00:00.000000,2025-04-16T10:00:00.000000
Nike,Nike App,neutral,Nunca pensé que Nike App de Nike fuera tan bueno. Sorprendido. 👍,2025-04-18 03:00:00,nunca pens que nike app de nike fuera tan bueno sorprendido,nunca pen que nike app de nike fuera tan bueno sorprendido,0.0,2025-04-18T03:00:00.000000,2025-04-18T03:00:00.000000
Binance,Launchpad,neutral,Probando el Launchpad de Binance. Aún no sé qué pensar.,2025-04-16 23:00:00,probando el launchpad de binance an no s qu pensar,probando el launchpad de binance s qu pensar,0.0,2025-04-16T23:00:00.000000,2025-04-16T23:00:00.000000
Coinbase,Wallet,neutral,El soporte de Coinbase no resolvió nada con mi Wallet. 🤬,2025-04-17 14:00:00,el soporte de coinbase no resolvi nada con mi wallet,el soporte de coinbase resolvi nada con mi wallet,0.0,2025-04-17T14:00:00.000000,2025-04-17T14:00:00.000000
Tesla,Autopilot,negativo,No entiendo el hype con el Autopilot de Tesla. Meh.,2025-04-20 08:00:00,no entiendo el hype con el autopilot de tesla meh,entiendo el hype con el autopilot de tesla meh,-0.0772,2025-04-20T08:00:00.000000,2025-04-20T08:00:00.000000
Coinbase,Coinbase Pro,positivo,"Coinbase Pro me ha cambiado la vida. Gracias, Coinbase. ❤️",2025-04-16 14:00:00,coinbase pro me ha cambiado la vida gracias coinbase,coinbase pro ha cambiado la vida gracias coinbase,0.34,2025-04-16T14:00:00.000000,2025-04-16T14:00:00.000000
Coinbase,Wallet,neutral,El servicio de Coinbase con Wallet fue impecable. 10/10 ⭐,2025-04-17 16:00:00,el servicio de coinbase con wallet fue impecable 1010,el servicio de coinbase con wallet fue impecable,0.0,2025-04-17T16:00:00.000000,2025-04-17T16:00:00.000000
Tesla,Model 3,neutral,Probando el Model 3 de Tesla. Aún no sé qué pensar.,2025-04-16 19:00:00,probando el model 3 de tesla an no s qu pensar,probando el model de tesla s qu pensar,0.0,2025-04-16T19:00:00.000000,2025-04-16T19:00:00.000000
Nvidia,CUDA Toolkit,negativo,"Nvidia se la rifó con el CUDA Toolkit, está brutal 😍",2025-04-20 08:00:00,nvidia se la rif con el cuda toolkit est brutal,nvidia se la rif con el cuda toolkit est brutal,-0.6249,2025-04-20T08:00:00.000000,2025-04-20T08:00:00.000000
Coinbase,NFT platform,neutral,"NFT platform no sirve para nada, Coinbase debería hacer recall ya.",2025-04-18 18:00:00,nft platform no sirve para nada coinbase debera hacer recall ya,nft platform sirve para nada coinbase debera hacer recall ya,0.0,2025-04-18T18:00:00.000000,2025-04-18T18:00:00.000000
Nike,Nike App,neutral,"Nike App cumple con lo básico. Nada sorprendente, pero funciona.",2025-04-19 19:00:00,nike app cumple con lo bsico nada sorprendente pero funciona,nike app cumple con lo bsico nada sorprendente pero funciona,0.0,2025-04-19T19:00:00.000000,2025-04-19T19:00:00.000000
Tesla,Powerwall,neutral,Otro día más batallando con Powerwall de Tesla.,2025-04-20 05:00:00,otro da ms batallando con powerwall de tesla,otro da ms batallando con powerwall de tesla,0.0,2025-04-20T05:00:00.000000,2025-04-20T05:00:00.000000
Coinbase,Earn,neutral,Tuve una pésima experiencia con Earn de Coinbase. Decepcionante. 👎,2025-04-20 05:00:00,tuve una psima experiencia con earn de coinbase decepcionante,tuve una psima experiencia con earn de coinbase decepcionante,0.0,2025-04-20T05:00:00.000000,2025-04-20T05:00:00.000000
Nvidia,GeForce NOW,neutral,"Es un GeForce NOW más. No está mal, pero tampoco es la gran cosa.",2025-04-20 00:00:00,es un geforce now ms no est mal pero tampoco es la gran cosa,es un geforce ms est mal pero tampoco es la gran cosa,0.0,2025-04-20T00:00:00.000000,2025-04-20T00:00:00.000000
Nvidia,DLSS 3.5,neutral,He tenido más problemas que beneficios con el DLSS 3.5 de Nvidia.,2025-04-16 07:00:00,he tenido ms problemas que beneficios con el dlss 35 de nvidia,tenido ms problemas que beneficio con el dlss de nvidia,0.0,2025-04-16T07:00:00.000000,2025-04-16T07:00:00.000000
Coinbase,Coinbase Pro,neutral,El soporte de Coinbase no resolvió nada con mi Coinbase Pro. 🤬,2025-04-15 10:00:00,el soporte de coinbase no resolvi nada con mi coinbase pro,el soporte de coinbase resolvi nada con mi coinbase pro,0.0,2025-04-15T10:00:00.000000,2025-04-15T10:00:00.000000
Meta,Instagram,neutral,Nunca pensé que Instagram de Meta fuera tan bueno. Sorprendido. 👍,2025-04-15 14:00:00,nunca pens que instagram de meta fuera tan bueno sorprendido,nunca pen que instagram de meta fuera tan bueno sorprendido,0.0,2025-04-15T14:00:00.000000,2025-04-15T14:00:00.000000
Meta,Oculus Quest,neutral,El soporte de Meta no resolvió nada con mi Oculus Quest. 🤬,2025-04-19 12:00:00,el soporte de meta no resolvi nada con mi oculus quest,el soporte de meta resolvi nada con mi oculus quest,0.0,2025-04-19T12:00:00.000000,2025-04-19T12:00:00.000000
Coinbase,Coinbase Pro,neutral,¡Amo mi nuevo Coinbase Pro de Coinbase! 🥳,2025-04-17 17:00:00,amo mi nuevo coinbase pro de coinbase,amo mi nuevo coinbase pro de coinbase,0.0,2025-04-17T17:00:00.000000,2025-04-17T17:00:00.000000
Nvidia,CUDA Toolkit,neutral,Vi muchas reseñas del CUDA Toolkit de Nvidia. Opiniones divididas.,2025-04-16 14:00:00,vi muchas reseas del cuda toolkit de nvidia opiniones divididas,vi muchas reseas del cuda toolkit de nvidia opinione dividida,0.0,2025-04-16T14:00:00.000000,2025-04-16T14:00:00.000000
Nvidia,CUDA Toolkit,neutral,Nvidia lanzó el nuevo CUDA Toolkit. Alguien ya lo probó?,2025-04-20 04:00:00,nvidia lanz el nuevo cuda toolkit alguien ya lo prob,nvidia lanz el nuevo cuda toolkit alguien ya lo prob,0.0,2025-04-20T04:00:00.000000,2025-04-20T04:00:00.000000
Nvidia,GeForce NOW,neutral,¡Amo mi nuevo GeForce NOW de Nvidia! 🥳,2025-04-16 17:00:00,amo mi nuevo geforce now de nvidia,amo mi nuevo geforce de nvidia,0.0,2025-04-16T17:00:00.000000,2025-04-16T17:00:00.000000
Binance,Earn Program,negativo,"Binance se la rifó con el Earn Program, está brutal 😍",2025-04-20 05:00:00,binance se la rif con el earn program est brutal,binance se la rif con el earn program e brutal,-0.6249,2025-04-20T05:00:00.000000,2025-04-20T05:00:00.000000
Tesla,Autopilot,negativo,No entiendo el hype con el Autopilot de Tesla. Meh.,2025-04-16 09:00:00,no entiendo el hype con el autopilot de tesla meh,entiendo el hype con el autopilot de tesla meh,-0.0772,2025-04-16T09:00:00.000000,2025-04-16T09:00:00.000000
Nike,Nike App,neutral,Probando el Nike App de Nike. Aún no sé qué pensar.,2025-04-15 19:00:00,probando el nike app de nike an no s qu pensar,probando el nike app de nike s qu pensar,0.0,2025-04-15T19:00:00.000000,2025-04-15T19:00:00.000000
Coinbase,Earn,neutral,Coinbase lanzó el nuevo Earn. Alguien ya lo probó?,2025-04-17 19:00:00,coinbase lanz el nuevo earn alguien ya lo prob,coinbase lanz el nuevo earn alguien ya lo prob,0.0,2025-04-17T19:00:00.000000,2025-04-17T19:00:00.000000
Nike,Air Max,negativo,No entiendo el hype con el Air Max de Nike. Meh.,2025-04-19 19:00:00,no entiendo el hype con el air max de nike meh,entiendo el hype con el air max de nike meh,-0.0772,2025-04-19T19:00:00.000000,2025-04-19T19:00:00.000000
Tesla,Model 3,neutral,He tenido más problemas que beneficios con el Model 3 de Tesla.,2025-04-19 10:00:00,he tenido ms problemas que beneficios con el model 3 de tesla,tenido ms problemas que beneficio con el model de tesla,0.0,2025-04-19T10:00:00.000000,2025-04-19T10:00:00.000000
Nvidia,CUDA Toolkit,neutral,Otro día más batallando con CUDA Toolkit de Nvidia.,2025-04-16 19:00:00,otro da ms batallando con cuda toolkit de nvidia,otro da ms batallando con cuda toolkit de nvidia,0.0,2025-04-16T19:00:00.000000,2025-04-16T19:00:00.000000
Coinbase,Earn,neutral,"Ya van 3 veces que falla el Earn. ¿Qué pasa, Coinbase?",2025-04-16 16:00:00,ya van 3 veces que falla el earn qu pasa coinbase,ya van vece que falla el earn qu pasa coinbase,0.0,2025-04-16T16:00:00.000000,2025-04-16T16:00:00.000000
Meta,Oculus Quest,neutral,¡Amo mi nuevo Oculus Quest de Meta! 🥳,2025-04-19 20:00:00,amo mi nuevo oculus quest de meta,amo mi nuevo oculus quest de meta,0.0,2025-04-19T20:00:00.000000,2025-04-19T20:00:00.000000
Apple,iOS 18,neutral,Nunca volveré a comprar un iOS 18 de Apple. Estafa total.,2025-04-20 06:00:00,nunca volver a comprar un ios 18 de apple estafa total,nunca volver comprar un ios de apple estafa total,0.0,2025-04-20T06:00:00.000000,2025-04-20T06:00:00.000000
Nike,Jordan Retro,neutral,Tuve una pésima experiencia con Jordan Retro de Nike. Decepcionante. 👎,2025-04-16 22:00:00,tuve una psima experiencia con jordan retro de nike decepcionante,tuve una psima experiencia con jordan retro de nike decepcionante,0.0,2025-04-16T22:00:00.000000,2025-04-16T22:00:00.000000
Nike,Air Max,neutral,Nunca pensé que Air Max de Nike fuera tan bueno. Sorprendido. 👍,2025-04-16 06:00:00,nunca pens que air max de nike fuera tan bueno sorprendido,nunca pen que air max de nike fuera tan bueno sorprendido,0.0,2025-04-16T06:00:00.000000,2025-04-16T06:00:00.000000
Meta,Threads,neutral,No tengo quejas ni elogios del Threads de Meta.,2025-04-15 22:00:00,no tengo quejas ni elogios del threads de meta,tengo quejas ni elogios del thread de meta,0.0,2025-04-15T22:00:00.000000,2025-04-15T22:00:00.000000
Coinbase,NFT platform,neutral,El servicio de Coinbase con NFT platform fue impecable. 10/10 ⭐,2025-04-18 04:00:00,el servicio de coinbase con nft platform fue impecable 1010,el servicio de coinbase con nft platform fue impecable,0.0,2025-04-18T04:00:00.000000,2025-04-18T04:00:00.000000
Nike,Air Max,neutral,"Ya van 3 veces que falla el Air Max. ¿Qué pasa, Nike?",2025-04-17 05:00:00,ya van 3 veces que falla el air max qu pasa nike,ya van vece que falla el air max qu pasa nike,0.0,2025-04-17T05:00:00.000000,2025-04-17T05:00:00.000000
Nvidia,DLSS 3.5,neutral,"Interesante propuesta con DLSS 3.5 de Nvidia, veremos cómo evoluciona.",2025-04-19 02:00:00,interesante propuesta con dlss 35 de nvidia veremos cmo evoluciona,interesante propuesta con dlss de nvidia veremos cmo evoluciona,0.0,2025-04-19T02:00:00.000000,2025-04-19T02:00:00.000000
Nike,Jordan Retro,neutral,Nunca volveré a comprar un Jordan Retro de Nike. Estafa total.,2025-04-15 23:00:00,nunca volver a comprar un jordan retro de nike estafa total,nunca volver comprar un jordan retro de nike estafa total,0.0,2025-04-15T23:00:00.000000,2025-04-15T23:00:00.000000
Tesla,Model 3,neutral,"Model 3 cumple con lo básico. Nada sorprendente, pero funciona.",2025-04-16 21:00:00,model 3 cumple con lo bsico nada sorprendente pero funciona,model cumple con lo bsico nada sorprendente pero funciona,0.0,2025-04-16T21:00:00.000000,2025-04-16T21:00:00.000000
Meta,Facebook Ads,neutral,Lo de Meta con el Facebook Ads es otro nivel. 😎,2025-04-19 18:00:00,lo de meta con el facebook ads es otro nivel,lo de meta con el facebook ad es otro nivel,0.0,2025-04-19T18:00:00.000000,2025-04-19T18:00:00.000000
Nike,Nike Run Club,neutral,El servicio de Nike con Nike Run Club fue impecable. 10/10 ⭐,2025-04-16 00:00:00,el servicio de nike con nike run club fue impecable 1010,el servicio de nike con nike run club fue impecable,0.0,2025-04-16T00:00:00.000000,2025-04-16T00:00:00.000000
Coinbase,Coinbase Pro,neutral,"Coinbase Pro no sirve para nada, Coinbase debería hacer recall ya.",2025-04-18 19:00:00,coinbase pro no sirve para nada coinbase debera hacer recall ya,coinbase pro sirve para nada coinbase debera hacer recall ya,0.0,2025-04-18T19:00:00.000000,2025-04-18T19:00:00.000000
Tesla,Model Y,neutral,Parece estable el Model Y de Tesla. Veremos con el tiempo.,2025-04-16 12:00:00,parece estable el model y de tesla veremos con el tiempo,parece estable el model y de tesla veremos con el tiempo,0.0,2025-04-16T12:00:00.000000,2025-04-16T12:00:00.000000
Coinbase,NFT platform,neutral,Muy satisfecho con NFT platform de Coinbase. No esperaba menos.,2025-04-18 23:00:00,muy satisfecho con nft platform de coinbase no esperaba menos,muy satisfecho con nft platform de coinbase esperaba menos,0.0,2025-04-18T23:00:00.000000,2025-04-18T23:00:00.000000
Nike,Nike App,neutral,Nike lanzó el nuevo Nike App. Alguien ya lo probó?,2025-04-20 03:00:00,nike lanz el nuevo nike app alguien ya lo prob,nike lanz el nuevo nike app alguien ya lo prob,0.0,2025-04-20T03:00:00.000000,2025-04-20T03:00:00.000000
Tesla,Model 3,neutral,Tesla lanzó el nuevo Model 3. Alguien ya lo probó?,2025-04-16 03:00:00,tesla lanz el nuevo model 3 alguien ya lo prob,tesla lanz el nuevo model alguien ya lo prob,0.0,2025-04-16T03:00:00.000000,2025-04-16T03:00:00.000000
Meta,Threads,neutral,Malísimo el Threads de Meta. No lo recomiendo. 👎,2025-04-19 22:00:00,malsimo el threads de meta no lo recomiendo,malsimo el thread de meta lo recomiendo,0.0,2025-04-19T22:00:00.000000,2025-04-19T22:00:00.000000
Nike,Air Max,neutral,"Interesante propuesta con Air Max de Nike, veremos cómo evoluciona.",2025-04-17 10:00:00,interesante propuesta con air max de nike veremos cmo evoluciona,interesante propuesta con air max de nike veremos cmo evoluciona,0.0,2025-04-17T10:00:00.000000,2025-04-17T10:00:00.000000
Apple,MacBook Air,neutral,No tengo quejas ni elogios del MacBook Air de Apple.,2025-04-19 10:00:00,no tengo quejas ni elogios del macbook air de apple,tengo quejas ni elogios del macbook air de apple,0.0,2025-04-19T10:00:00.000000,2025-04-19T10:00:00.000000
Coinbase,Coinbase Pro,negativo,No entiendo el hype con el Coinbase Pro de Coinbase. Meh.,2025-04-19 09:00:00,no entiendo el hype con el coinbase pro de coinbase meh,entiendo el hype con el coinbase pro de coinbase meh,-0.0772,2025-04-19T09:00:00.000000,2025-04-19T09:00:00.000000
Apple,iPhone 15,neutral,"iPhone 15 no sirve para nada, Apple debería hacer recall ya.",2025-04-18 00:00:00,iphone 15 no sirve para nada apple debera hacer recall ya,iphone sirve para nada apple debera hacer recall ya,0.0,2025-04-18T00:00:00.000000,2025-04-18T00:00:00.000000
Apple,iPhone 15,neutral,Lo de Apple con el iPhone 15 es otro nivel. 😎,2025-04-16 21:00:00,lo de apple con el iphone 15 es otro nivel,lo de apple con el iphone es otro nivel,0.0,2025-04-16T21:00:00.000000,2025-04-16T21:00:00.000000
Binance,Earn Program,neutral,Otro día más batallando con Earn Program de Binance.,2025-04-17 05:00:00,otro da ms batallando con earn program de binance,otro da ms batallando con earn program de binance,0.0,2025-04-17T05:00:00.000000,2025-04-17T05:00:00.000000
Meta,Oculus Quest,neutral,El Oculus Quest de Meta es... aceptable.,2025-04-20 00:00:00,el oculus quest de meta es aceptable,el oculus quest de meta es aceptable,0.0,2025-04-20T00:00:00.000000,2025-04-20T00:00:00.000000
Nvidia,GeForce NOW,neutral,Tuve una pésima experiencia con GeForce NOW de Nvidia. Decepcionante. 👎,2025-04-18 15:00:00,tuve una psima experiencia con geforce now de nvidia decepcionante,tuve una psima experiencia con geforce de nvidia decepcionante,0.0,2025-04-18T15:00:00.000000,2025-04-18T15:00:00.000000
Nike,Jordan Retro,neutral,El servicio de Nike con Jordan Retro fue impecable. 10/10 ⭐,2025-04-15 15:00:00,el servicio de nike con jordan retro fue impecable 1010,el servicio de nike con jordan retro fue impecable,0.0,2025-04-15T15:00:00.000000,2025-04-15T15:00:00.000000
Nike,Nike Run Club,neutral,Vi muchas reseñas del Nike Run Club de Nike. Opiniones divididas.,2025-04-19 08:00:00,vi muchas reseas del nike run club de nike opiniones divididas,vi muchas reseas del nike run club de nike opinione dividida,0.0,2025-04-19T08:00:00.000000,2025-04-19T08:00:00.000000
Binance,Smart Chain,positivo,Lo de Binance con el Smart Chain es otro nivel. 😎,2025-04-18 01:00:00,lo de binance con el smart chain es otro nivel,lo de binance con el smart chain es otro nivel,0.4019,2025-04-18T01:00:00.000000,2025-04-18T01:00:00.000000
Binance,Earn Program,neutral,"Earn Program cumple con lo básico. Nada sorprendente, pero funciona.",2025-04-20 01:00:00,earn program cumple con lo bsico nada sorprendente pero funciona,earn program cumple con lo bsico nada sorprendente pero funciona,0.0,2025-04-20T01:00:00.000000,2025-04-20T01:00:00.000000
Coinbase,Earn,neutral,La mejor inversión que he hecho este año es Earn de Coinbase. 🔥,2025-04-17 07:00:00,la mejor inversin que he hecho este ao es earn de coinbase,la mejor inversin que hecho este ao es earn de coinbase,0.0,2025-04-17T07:00:00.000000,2025-04-17T07:00:00.000000
Coinbase,NFT platform,neutral,"Ya van 3 veces que falla el NFT platform. ¿Qué pasa, Coinbase?",2025-04-20 06:00:00,ya van 3 veces que falla el nft platform qu pasa coinbase,ya van vece que falla el nft platform qu pasa coinbase,0.0,2025-04-20T06:00:00.000000,2025-04-20T06:00:00.000000
Tesla,Model 3,neutral,"Model 3 no sirve para nada, Tesla debería hacer recall ya.",2025-04-17 11:00:00,model 3 no sirve para nada tesla debera hacer recall ya,model sirve para nada tesla debera hacer recall ya,0.0,2025-04-17T11:00:00.000000,2025-04-17T11:00:00.000000
Tesla,Powerwall,neutral,No tengo quejas ni elogios del Powerwall de Tesla.,2025-04-16 05:00:00,no tengo quejas ni elogios del powerwall de tesla,tengo quejas ni elogios del powerwall de tesla,0.0,2025-04-16T05:00:00.000000,2025-04-16T05:00:00.000000
Nvidia,RTX 4090,neutral,El RTX 4090 de Nvidia es... aceptable.,2025-04-15 11:00:00,el rtx 4090 de nvidia es aceptable,el rtx de nvidia es aceptable,0.0,2025-04-15T11:00:00.000000,2025-04-15T11:00:00.000000
Binance,Smart Chain,positivo,Nunca volveré a comprar un Smart Chain de Binance. Estafa total.,2025-04-19 23:00:00,nunca volver a comprar un smart chain de binance estafa total,nunca volver comprar un smart chain de binance estafa total,0.4019,2025-04-19T23:00:00.000000,2025-04-19T23:00:00.000000
Tesla,Model 3,neutral,Otro día más batallando con Model 3 de Tesla.,2025-04-19 11:00:00,otro da ms batallando con model 3 de tesla,otro da ms batallando con model de tesla,0.0,2025-04-19T11:00:00.000000,2025-04-19T11:00:00.000000
Coinbase,Wallet,neutral,El Wallet de Coinbase es... aceptable.,2025-04-18 19:00:00,el wallet de coinbase es aceptable,el wallet de coinbase es aceptable,0.0,2025-04-18T19:00:00.000000,2025-04-18T19:00:00.000000
Coinbase,NFT platform,neutral,Coinbase lanzó el nuevo NFT platform. Alguien ya lo probó?,2025-04-18 05:00:00,coinbase lanz el nuevo nft platform alguien ya lo prob,coinbase lanz el nuevo nft platform alguien ya lo prob,0.0,2025-04-18T05:00:00.000000,2025-04-18T05:00:00.000000
